Sample 1,,Sample 2,,
Time (min),Abs,Time (min),Abs,
0.0008333333535,0.07034876198,0.01932113245,0.07014639676,
0.0481875129,0.07025167346,0.07218374312,0.07034888119,
0.1010519117,0.07009273022,0.1247874051,0.07005428523,
0.1539160311,0.07027562708,0.1776492596,0.07020831108,
0.2067804635,0.07030249387,0.2305118889,0.07029075176,
0.2596447468,0.0701796785,0.2833747268,0.07031878084,
0.3125090599,0.07040339708,0.3362366557,0.07027672231,
0.3653734326,0.07035609335,0.3893583417,0.07026767731,
0.4182379246,0.07042613626,0.4419748187,0.07018707693,
0.4710761905,0.07031859457,0.4950835109,0.07031905651,
0.5239406228,0.07028739899,0.5476866364,0.07033974677,
0.5768051147,0.07040738314,0.6005488038,0.07028621435,
0.6296696067,0.07018372416,0.6536706686,0.07050465792,
0.6825338006,0.07025711983,0.7065333128,0.07022800297,
0.7353980541,0.07021707296,0.7591360807,0.07027485967,
0.7882623672,0.07034267485,0.811999023,0.07015311718,
0.8411267996,0.07015232742,0.8651205301,0.07033695281,
0.8939911723,0.07030818611,0.9177359343,0.07043411583,
0.9468553662,0.07044553012,0.9705858231,0.07018360496,
0.9997196794,0.07023676485,1.023707867,0.07029793411,
1.052584291,0.07036480308,1.076310992,0.07025200874,
1.105448723,0.07036985457,1.129433274,0.070137389,
1.158313155,0.07018987089,1.1820364,0.07024263591,
1.211151123,0.070193097,1.23489821,0.07027754188,
1.264015555,0.07032477856,1.287760973,0.07018464059,
1.316879869,0.07020752132,1.340882778,0.0701386705,
1.369744301,0.07022298127,1.393497705,0.07036836445,
1.422608733,0.07041320205,1.446348786,0.07023088634,
1.475473166,0.070327878,1.499210715,0.07006452978,
1.528337598,0.07047366351,1.552073121,0.07014597207,
1.581201792,0.0702759549,1.604936242,0.07021728903,
1.634066224,0.07032492757,1.65805757,0.07018104941,
1.686930418,0.07036805898,1.710660458,0.07024059445,
1.739794731,0.0703567937,1.763522744,0.07012056559,
1.792659044,0.07031926513,1.81638515,0.07025803626,
1.845523477,0.07033143938,1.869247794,0.07031375915,
1.898361564,0.0704331398,1.92236948,0.07018783689,
1.951225877,0.07027154416,1.975232363,0.07010666281,
2.004090071,0.07046474516,2.027834892,0.07031771541,
2.056954622,0.07020645589,2.08069706,0.07034955174,
2.109818935,0.07033789158,2.133559704,0.07028739899,
2.162683249,0.07037182897,2.18642211,0.07034824044,
2.215547562,0.07015342265,2.239284754,0.07021521777,
2.268411875,0.07031326741,2.292406321,0.07020033896,
2.321275949,0.07024218142,2.345009565,0.07026999444,
2.374140263,0.07045692205,2.397871971,0.07026573271,
2.427004576,0.07035518438,2.450734377,0.07043813169,
2.479868889,0.07035445422,2.503597498,0.07026095688,
2.53273344,0.07047189772,2.556459188,0.07034952193,
2.585597992,0.07048538327,2.609581232,0.07037252933,
2.638436079,0.07033649087,2.662196398,0.07026475668,
2.691300631,0.07017925382,2.715306044,0.07023527473,
2.744164944,0.0704562813,2.767910242,0.07032328099,
2.797029257,0.07041841,2.820771217,0.07022057474,
2.84989357,0.07045511901,2.873633862,0.07036007941,
2.902757883,0.07023183256,2.926755667,0.0701270476,
2.955622196,0.07045332342,2.97935915,0.07025082409,
3.008486509,0.07036154717,3.032221317,0.07009197026,
3.061350822,0.07032891363,3.085083723,0.07020840049,
3.114215136,0.07026409358,3.138205528,0.07022364438,
3.167079449,0.07033196092,3.190820694,0.07017395645,
3.219944,0.07021561265,3.243930817,0.07004126161,
3.272808313,0.07040126622,3.296533346,0.07036951929,
3.325672865,0.07015491277,3.34939599,0.07008862495,
3.378510952,0.070096232,3.402258396,0.07020913064,
3.431375265,0.0703098923,3.455120802,0.07007834315,
3.484239578,0.07035658509,3.507983685,0.07032422721,
